id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
191,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
192,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
193,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
194,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
195,30,0.7627,0,6,5,136.82,174.03,174.03,172.71,164.44,168.58,6.47,4.79,1,1
196,30,0.7575,0,6,5,149.14,166.17,157.65,164.59,133.73,149.16,23.87,23.95,1,1
197,30,0.889,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,14.06,4.79,1,0
198,31,0.8454,0,6,5,136.82,91.93,91.93,88.51,104.43,104.43,25.27,4.79,1,0
199,31,0.9013,0,6,5,136.82,132.36,126.24,88.51,94.84,94.84,28.86,4.79,1,0
200,31,0.8219,0,6,5,62.68,132.36,62.68,70.01,56.37,63.19,33.12,4.79,1,0
201,31,0.8973,0,6,5,136.82,132.36,126.24,168.97,89.71,168.97,12.06,4.79,1,0
202,31,0.873,0,6,5,136.82,132.36,126.24,55.09,54.88,54.98,27.36,4.79,1,0
203,32,0.9058,0,6,5,136.82,132.36,126.24,174.87,89.71,174.87,16.05,4.79,1,1
204,32,0.8539,0,6,5,136.82,132.36,126.24,171.75,159.37,165.56,4.12,4.79,1,1
205,32,0.8539,0,6,5,136.82,132.36,126.24,171.75,159.37,165.56,4.12,4.79,1,1
206,32,0.9009,0,6,5,136.82,132.36,126.24,88.51,158.23,158.23,8.78,4.79,1,1
207,32,0.7993,0,6,5,136.82,157.6,157.6,158.83,168.16,163.5,9.24,4.79,1,1
208,32,0.8154,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,6.07,4.79,1,1
209,32,0.9871,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,8.63,4.79,1,1
210,32,0.9118,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,8.37,4.79,1,1
211,32,0.8563,0,6,5,136.82,132.36,126.24,139.52,149.28,144.4,7.34,4.79,1,1
212,32,0.8454,0,6,5,136.82,173.69,173.69,170.61,159.33,164.97,8.56,4.79,1,1
213,32,0.8128,0,6,5,161.19,171.13,166.16,111.56,111.52,111.54,15.65,4.99,1,1
214,32,0.8938,0,6,5,136.82,111.36,111.36,88.51,99.85,99.85,9.88,4.79,1,0
215,32,0.8956,0,6,5,136.82,82.34,82.34,88.51,83.0,83.0,5.23,4.79,1,0
216,32,0.9145,0,6,5,136.82,100.33,100.33,88.51,94.56,94.56,12.14,4.79,1,0
217,32,0.9154,0,6,5,136.82,120.85,120.85,88.51,105.68,105.68,12.79,4.79,1,0
218,32,0.9154,0,6,5,136.82,120.85,120.85,88.51,105.68,105.68,12.79,4.79,1,0
219,32,0.9796,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,8.63,4.79,1,0
220,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
221,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
222,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
223,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
224,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
225,33,0.9971,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,25.68,4.79,1,1
